state	year	precinct	g2008_USP_tv	g2008_USP_dv	g2008_USP_rv	g2008_STS_tv	g2008_STS_dv	g2008_STS_rv	sd	g2008_USS_tv	g2008_USS_dv	g2008_USS_rv	g2008_USH_tv	g2008_USH_dv	g2008_USH_rv	g2008_GOV_tv	g2008_GOV_dv	g2008_GOV_rv	g2008_LTG_tv	g2008_LTG_dv	g2008_LTG_rv	g2008_INS_tv	g2008_INS_dv	g2008_INS_rv	g2008_STH_tv	g2008_STH_dv	g2008_STH_rv	ld
"DE"	2008	"03-40"	992	625	361	794	794		21	955	628	327	940	429	500	948	656	287	932	628	304	932	553	365	938	556	382	40
"DE"	2008	"03-41"	852	460	388					835	508	327	815	292	515	824	495	329	816	489	327	798	369	420	831	473	358	41
"DE"	2008	"04-01"	1230	1200	28	1041	1041		1	1159	1121	38	1023	798	225	1116	1073	41	1072	918	154	1050	921	111	1048	1005	43	1
"DE"	2008	"04-02"	28	16	11	17	17		2	25	17	8	26	6	19	27	11	16	27	9	18	27	8	19	18	16		2
"DE"	2008	"04-03"	424	416	7	343	343		3	382	375	7	344	274	64	372	358	12	351	314	37	361	318	36	335	335		3
"DE"	2008	"04-04"	1021	739	264	687	687		2	947	718	229	877	355	513	925	710	208	886	574	312	877	538	325	890	699	181	4
"DE"	2008	"04-05"	549	472	72					530	449	81	501	342	156	520	450	69	505	420	85	509	419	82	472	472		5
"DE"	2008	"04-06"	994	676	298					974	667	307	955	350	589	964	661	296	949	603	346	947	571	348	757	757		6
"DE"	2008	"04-07"	552	361	187					533	362	171	518	203	309	533	363	170	513	328	185	514	300	203	527	344	183	7
"DE"	2008	"04-08"	1584	1244	327					1512	1195	317	1434	864	559	1475	1182	286	1439	1091	348	1428	1067	334	1451	1025	426	8
"DE"	2008	"04-09"	872	602	258					837	597	240	816	347	464	828	608	216	814	558	256	799	527	257	828	446	382	9
"DE"	2008	"04-10"	799	632	159					752	604	148	711	410	295	746	606	136	721	548	173	727	536	175	729	513	213	10
"DE"	2008	"04-11"	949	601	332	906	510	396	4	913	608	305	897	274	615	915	627	285	897	511	386	887	511	358	895	316	579	11
"DE"	2008	"04-12"	674	354	316	656	301	355	4	652	373	279	651	87	557	657	400	256	655	242	413	627	281	335	505		505	12
"DE"	2008	"04-13"	638	446	180					607	440	167	605	234	366	613	465	144	594	420	173	594	383	199	510	484		13
"DE"	2008	"04-14"	2197	1128	1048	2038	945	1093	18	2132	1194	938	2102	643	1441	2138	1153	979	2091	1116	975	2078	879	1154	1584	1584		14
"DE"	2008	"04-15"	856	566	274					829	565	264	808	330	470	822	577	244	801	528	273	802	507	279	662	662		15
"DE"	2008	"04-16"	551	425	122					528	420	108	502	273	223	516	405	110	502	378	123	500	373	114	442	442		16
"DE"	2008	"04-17"	1225	851	359					1175	834	341	1133	372	750	1169	881	282	1153	767	386	1119	699	394	1144	882	262	17
"DE"	2008	"04-18"	1265	953	298					1210	923	287	1182	605	570	1210	963	245	1198	901	296	1174	834	330	1202	663	534	18
"DE"	2008	"04-19"	895	616	262					860	614	246	833	367	458	853	639	203	837	569	268	827	539	266	842	664	170	19
"DE"	2008	"04-20"	813	479	332					791	481	310	784	204	576	791	531	257	781	406	374	767	402	348	592		589	20
"DE"	2008	"04-21"	728	481	236					707	488	219	687	226	457	699	512	180	683	435	248	680	406	264	703	317	386	21
"DE"	2008	"04-22"	1136	599	529					1119	660	459	1094	206	879	1106	678	423	1099	519	580	1080	493	574	1108	319	789	22
"DE"	2008	"04-23"	1051	705	321	1012	604	408	6	1024	718	306	1010	319	678	1033	789	239	1009	674	335	978	603	343	1006	789	206	23
"DE"	2008	"04-24"	955	621	312	688	688		11	925	616	309	889	329	553	899	645	249	879	602	276	870	527	316	908	297	587	24
"DE"	2008	"04-25"	828	583	237	596	596		11	782	569	213	740	331	394	768	575	189	744	517	227	739	491	224	770	574	196	25
"DE"	2008	"04-26"	1086	796	280	872	872		11	1057	803	254	1011	497	499	1041	798	238	1023	732	290	1001	660	318	1013	770	243	26
"DE"	2008	"04-27"	703	446	243	648	378	270	10	679	458	221	656	248	400	676	467	207	656	408	248	651	388	257	670	311	332	27
"DE"	2008	"04-28"	12	6	6					12	6	6	11	1	10	12	6	6	11	5	6	11	3	7	9	9		28
"DE"	2008	"04-29"	372	229	140					359	219	140	346	137	205	361	234	124	346	207	138	347	188	152	353	191	162	29
"DE"	2008	"04-30"	618	262	351	603	261	342	16	607	293	314	590	162	423	608	334	271	599	297	302	590	247	336	482		482	30
"DE"	2008	"04-31"	1138	728	405	1053	586	467	17	1080	704	376	1019	410	603	1075	745	330	1036	665	371	1008	567	426	1075	542	533	31
"DE"	2008	"04-32"	491	336	152	459	274	185	17	478	323	155	457	202	252	473	334	136	459	304	155	451	272	171	474	281	193	32
"DE"	2008	"04-33"	2090	1046	1025	1973	848	1125	16	2037	1063	974	1956	643	1298	2010	1240	760	1961	1046	915	1926	888	1003	1971	1020	951	33
"DE"	2008	"04-34"	2996	1610	1354	2827	1479	1348	17	2886	1618	1268	2771	987	1760	2878	1816	1051	2805	1627	1178	2744	1408	1289	2786	1136	1650	34
"DE"	2008	"04-35"	1589	863	712					1531	837	694	1502	565	926	1534	868	661	1494	847	647	1472	738	702	1501	628	873	35
"DE"	2008	"04-36"	1615	768	829					1567	805	762	1533	500	1019	1562	890	664	1526	868	658	1516	668	820	1201		1201	36
"DE"	2008	"04-37"	385	169	208					377	173	204	372	120	243	373	183	187	361	176	184	365	142	221	364	135	229	37
"DE"	2008	"04-38"	1609	709	886					1579	775	804	1549	407	1134	1562	801	760	1532	724	808	1502	609	871	1583	438	1145	38
"DE"	2008	"04-39"	1208	647	549	851	851		21	1173	687	486	1146	370	762	1158	676	478	1135	632	503	1111	554	539	1150	416	723	39
"DE"	2008	"04-40"	1336	501	824	937	937		21	1303	587	716	1297	328	957	1305	582	719	1271	596	674	1271	509	739	1309	498	811	40
"DE"	2008	"04-41"	1083	449	627					1055	530	525	1033	270	756	1053	559	489	1034	524	509	1013	392	607	1052	549	503	41
"DE"	2008	"05-01"	1018	848	158					975	820	155	897	414	474	962	812	140	937	682	255	909	670	215	919	759	160	1
"DE"	2008	"05-02"	725	639	79	585	585		3	682	611	71	616	430	182	650	578	69	621	525	96	621	520	91	577	544		2
"DE"	2008	"05-03"	716	687	25	531	531		3	643	612	31	555	421	129	611	583	27	584	485	99	569	499	62	547	547		3
"DE"	2008	"05-04"	570	492	74	434	434		3	551	479	72	490	301	187	527	469	57	517	402	115	504	384	111	520	452	64	4
"DE"	2008	"05-05"	988	875	106					961	858	103	927	671	251	934	837	97	924	812	112	904	776	113	878	878		5
"DE"	2008	"05-06"	751	570	175	586	586		2	717	559	158	690	358	324	703	551	151	690	501	189	692	485	183	584	584		6
"DE"	2008	"05-07"	642	518	111					628	520	108	625	279	333	635	513	115	617	456	161	605	431	155	626	486	140	7
"DE"	2008	"05-08"	2135	1424	693					2065	1412	653	2006	812	1180	2047	1474	571	2002	1327	675	1979	1290	660	2030	1162	868	8
"DE"	2008	"05-09"	1618	792	800					1564	829	735	1538	400	1130	1555	890	663	1525	770	755	1506	746	748	1560	514	1046	9
"DE"	2008	"05-10"	522	304	214					502	315	187	489	170	316	507	331	175	496	281	215	490	268	216	498	214	283	10
"DE"	2008	"05-11"	665	484	175					647	479	168	641	272	365	649	488	160	636	443	193	637	425	198	640	340	300	11
"DE"	2008	"05-12"	857	504	339					837	499	338	810	246	553	819	529	282	804	440	364	801	453	328	560		560	12
"DE"	2008	"05-13"	1027	767	242					988	760	228	958	418	530	973	734	233	955	687	268	941	636	278	821	801		13
"DE"	2008	"05-14"	1903	960	929	1781	868	913	18	1854	986	868	1824	604	1207	1857	1033	820	1811	1007	804	1803	804	971	1410	1410		14
"DE"	2008	"05-15"	1202	817	367					1153	812	341	1120	493	615	1149	822	324	1136	753	383	1125	732	371	932	932		15
"DE"	2008	"05-16"	1204	1152	49	1054	1054		2	1125	1089	36	1044	872	170	1109	1069	39	1072	972	100	1068	994	65	1048	1048		16
"DE"	2008	"05-17"	737	492	234					720	521	199	699	282	414	721	546	173	693	489	204	688	447	225	716	596	120	17
"DE"	2008	"05-18"	593	432	153					565	433	132	548	290	251	561	435	123	551	423	128	544	396	138	568	301	262	18
"DE"	2008	"05-19"	969	657	300					942	680	262	911	365	540	919	688	230	902	614	288	897	576	304	905	689	207	19
"DE"	2008	"05-20"	361	220	137					353	230	123	347	104	242	354	246	108	349	219	130	351	213	134	226		224	20
"DE"	2008	"05-21"	650	388	250					635	403	232	620	174	440	638	433	202	621	369	252	609	350	249	630	244	386	21
"DE"	2008	"05-22"	1209	652	547	1131	463	668	6	1172	682	490	1165	244	912	1166	731	427	1158	589	569	1122	526	579	1152	388	764	22
"DE"	2008	"05-23"	1070	735	314	992	536	456	6	1030	736	294	1009	344	650	1034	801	229	1007	667	340	972	614	333	996	757	220	23
"DE"	2008	"05-24"	869	618	238	668	668		11	845	612	233	804	323	470	835	620	209	816	560	256	807	517	266	820	291	518	24
"DE"	2008	"05-25"	907	555	341	852	514	338	10	884	572	312	860	314	539	878	585	289	862	524	338	851	509	325	863	614	249	25
"DE"	2008	"05-26"	1253	953	280	1007	1007		11	1192	941	251	1166	631	516	1180	942	233	1157	868	288	1147	783	328	1150	901	249	26
"DE"	2008	"05-27"	1361	916	435					1323	920	403	1305	517	775	1318	930	382	1288	850	438	1267	813	428	1317	602	630	27
"DE"	2008	"05-28"	2414	1443	949					2383	1485	898	2315	960	1340	2387	1629	753	2320	1448	872	2281	1319	910	1860	1860		28
"DE"	2008	"05-29"	1125	425	676					1090	498	592	1076	296	771	1110	583	524	1096	502	594	1054	429	603	1115	382	733	29
"DE"	2008	"05-30"	1676	789	867	1615	751	864	16	1631	821	810	1578	477	1090	1632	985	641	1586	878	708	1562	689	851	1228		1228	30
