state	year	town	cd	cd2	g2006_GOV_rv	g2006_GOV_dv	g2006_SOS_dv	g2006_SOS_lv	g2006_TRE_rv	g2006_TRE_dv	g2006_COM_rv	g2006_COM_dv	g2006_ATG_rv	g2006_ATG_dv	g2006_USS_rv	g2006_USS_dv	g2006_USH_dv	g2006_USH_rv	g2006_USH_rv2	g2006_USH_dv2	g2006_USS_iv
"CT"	2006	"Hebron"	2		2532	1288	2687	63	1180	2337	1130	2345	970	2708	413	1479	1784	1971			1951
"CT"	2006	"Kent"	5		911	446	876	13	442	796	402	842	318	999	127	665	779	556			578
"CT"	2006	"Killingly"	2		2656	1713	3079	52	1151	2658	1101	2731	814	3258	483	1819	2154	2152			2100
"CT"	2006	"Killingworth"	2		1970	935	1941	35	856	1713	851	1676	710	2040	263	1031	1330	1465			1636
"CT"	2006	"Lebanon"	2		1877	1045	2051	43	866	1785	833	1835	693	2093	337	1207	1353	1585			1442
"CT"	2006	"Ledyard"	2		3679	1434	3308	77	1744	2737	2355	2323	1234	3579	501	1650	1959	3146			3059
"CT"	2006	"Lisbon"	2		939	544	1097	15	351	921	522	809	251	1123	127	561	692	765			833
"CT"	2006	"Litchfield"	5		2672	1102	2509	31	1346	2136	1258	2189	1065	2594	435	1350	1888	1796			1991
"CT"	2006	"Lyme"	2		803	443	817	13	408	721	407	720	326	868	104	574	654	591			596
"CT"	2006	"Madison"	2		5643	2270	5156	52	2873	4316	2873	4217	2223	5370	729	2738	3645	4109			4574
"CT"	2006	"Manchester"	1		10839	6685	12872	172	4447	11602	4142	11740	3746	12976	1786	7970	12141	4405			8042
"CT"	2006	"Mansfield"	2		2669	3248	4828	76	954	4567	878	4641	781	4932	319	3806	4397	1753			2017
"CT"	2006	"Marlborough"	2		1792	986	1980	31	831	1730	799	1743	716	1965	315	1140	1340	1413			1383
"CT"	2006	"Meriden"	5		8514	6403	11247	185	1079	9997	2953	10257	2460	11575	1376	6915	9425	5104			7315
"CT"	2006	"Middlebury"	5		2298	855	1768	42	1215	1537	1211	1495	1092	1853	462	929	1397	1657			1817
"CT"	2006	"Middlefield"	3		1245	756	1561	22	495	1285	453	1329	403	1482	206	858	1429	458			955
"CT"	2006	"Middletown"	3	1	7378	6374	11441	95	2847	9933	2607	9990	2098	11182	1149	7067	5582	2052	631	1914	5678
"CT"	2006	"Milford"	3		13171	5586	11504	196	5662	10046	5417	10476	3859	13441	1897	6134	12912	4510			10577
"CT"	2006	"Monroe"	4		5697	1643	3868	1036	3060	3541	2983	3550	2055	5041	677	2223	2968	4247			4336
"CT"	2006	"Montville"	2		3797	2015	4260	51	1594	3570	1864	3412	988	4604	520	2163	2627	3150			3123
"CT"	2006	"Morris"	5		713	307	648	6	367	542	358	556	292	673	178	339	489	533			526
"CT"	2006	"Naugatuck"	3		5833	2430	5366	80	2283	4486	2120	4535	1802	5717	1045	2507	5210	2017			4825
"CT"	2006	"New Britain"	5		6332	6975	10074	182	2243	9154	2125	9164	2028	9689	1126	7344	8610	4506			5224
"CT"	2006	"New Canaan"	4		6145	1601	2630	101	4394	2561	4404	2511	3746	3616	717	2318	2638	4966			4894
"CT"	2006	"New Fairfield"	5		3896	1098	2444	44	2279	2177	2212	2201	1810	2895	618	1728	2169	2685			2718
