state	year	county	cd	g2010_REG_tv	g2010_BALL_tv	g2010_USS_rv	g2010_USS_dv	g2010_GOV_dv	g2010_GOV_rv	g2010_LTG_rv	g2010_LTG_dv	g2010_SOS_dv	g2010_SOS_rv	g2010_COM_dv	g2010_COM_rv	g2010_TRE_rv	g2010_ATG_rv	g2010_USH_dv	g2010_USH_rv
"ID"	2010	"Pocatello 41"	2	1117	488	315	149	222	215	267	181	156	305	289	172	396	399	143.0	292.0
"ID"	2010	"Pocatello 42"	2	785	338	223	101	154	165	187	118	111	211	206	115	271	265	102.0	216.0
"ID"	2010	"Pocatello 43"	2	817	358	187	142	177	129	156	160	165	178	191	153	282	278	130.0	180.0
"ID"	2010	"Chubbuck 50"	2	954	440	304	111	156	245	273	123	126	295	298	122	364	367	113.0	291.0
"ID"	2010	"Chubbuck 51"	2	901	445	299	120	180	234	285	126	129	293	287	134	369	375	113.0	301.0
"ID"	2010	"Chubbuck 52"	2	639	316	215	80	132	162	200	97	103	202	215	87	262	264	73.0	213.0
"ID"	2010	"Chubbuck 53"	2	1017	448	275	142	207	197	243	162	154	270	275	147	368	374	132.0	271.0
"ID"	2010	"Chubbuck 54"	2	607	329	238	72	104	198	216	79	79	236	234	80	270	274	67.0	225.0
"ID"	2010	"Chubbuck 55"	2	1132	493	363	101	170	285	321	132	117	360	355	114	430	439	100.0	343.0
"ID"	2010	"Chubbuck 56"	2	676	336	237	85	128	181	213	106	96	227	229	95	288	286	77.0	235.0
"ID"	2010	"Chubbuck 57"	2	937	516	381	114	164	311	350	119	127	366	373	122	446	447	100.0	364.0
"ID"	2010	"Chubbuck 58"	2	574	264	178	67	110	132	160	81	78	177	180	75	220	211	71.0	166.0
"ID"	2010	"Chubbuck 59"	2	620	323	228	74	101	201	210	91	92	225	233	82	278	274	76.0	218.0
"ID"	2010	"Chubbuck 60"	2	744	348	154	172	212	102	121	203	201	133	124	208	219	216	164.0	143.0
"ID"	2010	"Arimo 61"	2	518	315	251	44	95	192	227	58	61	231	231	65	279	277	38.0	248.0
"ID"	2010	"Downey 62"	2	547	340	255	54	106	200	231	77	73	251	250	73	294	291	51.0	249.0
"ID"	2010	"Inkom 63"	2	690	378	244	110	162	182	220	124	119	245	227	132	315	314	103.0	236.0
"ID"	2010	"Lava Hot Springs 64"	2	670	416	272	109	136	238	249	112	113	278	281	109	308	309	106.0	252.0
"ID"	2010	"McCammon 65"	2	871	526	362	136	180	295	343	147	145	356	342	151	449	452	128.0	353.0
"ID"	2010	"Mink Creek 66"	2	883	479	296	162	218	239	262	177	166	291	287	161	361	356	159.0	284.0
"ID"	2010	"Pebble Creek 67"	2	616	349	255	84	120	207	235	94	94	241	233	95	279	283	81.0	237.0
"ID"	2010	"Swan Lake 68"	2	74	52	43	7	11	39	45	5	6	44	45	5	46	47	5.0	46.0
"ID"	2010	"CO. TOTAL"	2	42783	23942	14636	7988	10613	11308	13039	8936	8449	14489	14094	8664	18743	18741	7523.0	14248.0
"ID"	2010	"#1 Montpelier"	2	514	340	264	50	98	216	243	66	67	253	264	56	292	288	49.0	267.0
"ID"	2010	"#2 Montpelier"	2	424	272	206	48	87	166	197	50	50	202	206	45	230	229	42.0	207.0
"ID"	2010	"#3 Montpelier"	2	416	271	204	45	77	159	183	51	48	204	208	47	239	234	39.0	198.0
"ID"	2010	"#5 Bennington"	2	171	114	92	8	19	76	91	6	8	96	98	7	103	102	7.0	88.0
"ID"	2010	"#6 Bern"	2	93	66	49	14	24	36	48	14	11	51	50	13	56	56	15.0	48.0
"ID"	2010	"#7 Bloomington"	2	138	95	80	9	20	68	68	16	13	78	79	12	83	81	11.0	76.0
"ID"	2010	"#8 Dingle"	2	193	121	91	15	28	79	86	14	20	91	92	19	106	103	15.0	90.0
"ID"	2010	"#9 Fish Haven"	2	185	117	79	26	33	73	79	28	30	83	84	28	106	105	25.0	80.0
"ID"	2010	"#10 Geneva"	2	69	60	54	4	14	42	48	7	8	50	52	6	53	52	4.0	55.0
"ID"	2010	"#11 Georgetown"	2	388	275	227	32	47	207	225	35	39	228	228	36	245	246	30.0	228.0
"ID"	2010	"#12 Liberty"	2	228	165	130	20	34	119	127	27	37	124	136	24	148	150	19.0	123.0
"ID"	2010	"#13 Paris"	2	313	206	162	30	53	133	154	35	34	162	163	32	182	180	31.0	164.0
"ID"	2010	"#15 St. Charles"	2	144	117	92	18	46	65	82	24	21	94	95	19	98	99	17.0	91.0
"ID"	2010	"#16 Bailey Creek"	2	89	58	41	12	12	45	41	12	11	45	47	10	52	52	11.0	42.0
"ID"	2010	"CO. TOTAL"	2	3365	2277	1771	331	592	1484	1672	385	397	1761	1802	354	1993	1977	315.0	1757.0
"ID"	2010	"1 Benewah"	1	199	132	94	30	30	90	83	32	34	92	96	32	108	106	52.0	69.0
"ID"	2010	"2 Center"	1	497	315	226	53	71	209	212	63	61	227	223	68	248	241	138.0	147.0
"ID"	2010	"3 College"	1	555	351	245	85	100	218	227	88	93	236	233	95	280	272	162.0	161.0
"ID"	2010	"4 Emida"	1	217	126	81	34	33	77	71	32	35	86	87	32	106	102	50.0	66.0
"ID"	2010	"5 Fernwood"	1	301	168	100	38	37	95	88	38	51	104	112	45	121	118	53.0	76.0
"ID"	2010	"6 Plummer"	1	903	431	296	104	113	275	275	109	121	291	287	119	356	354	175.0	206.0
"ID"	2010	"7 Santa"	1	285	175	122	37	35	114	111	34	42	120	122	37	131	126	65.0	90.0
"ID"	2010	"8 St. Joe"	1	50	37	32	4	5	29	32	5	5	31	32	4	34	34	13.0	21.0
"ID"	2010	"9 St. Maries"	1	925	602	434	123	147	400	407	138	133	433	427	136	506	489	266.0	282.0
"ID"	2010	"10 Tensed"	1	467	262	174	59	62	164	161	58	73	181	181	71	207	205	91.0	143.0
"ID"	2010	"11 Townsite"	1	721	480	336	106	140	298	302	130	127	321	323	129	385	379	213.0	219.0
"ID"	2010	"CO. TOTAL"	2	5120	3079	2140	673	773	1969	1969	727	775	2122	2123	768	2482	2426	0.0	0.0
"ID"	2010	"Blackfoot 1"	2	1032	492	363	108	194	258	315	137	131	339	349	120	407	415	99.0	348.0
"ID"	2010	"Blackfoot 2"	2	584	290	195	80	128	137	168	94	90	188	187	86	228	230	65.0	193.0
"ID"	2010	"Blackfoot 3"	2	971	407	287	96	164	199	243	119	116	278	287	106	344	346	78.0	289.0
"ID"	2010	"Blackfoot 4"	2	980	451	327	103	197	212	284	124	117	314	302	125	375	377	86.0	330.0
"ID"	2010	"Blackfoot 5"	2	1094	444	302	119	185	217	265	140	137	293	294	130	381	376	98.0	295.0
"ID"	2010	"Blackfoot 6"	2	1030	530	388	115	230	255	331	150	132	378	365	137	448	453	91.0	391.0
"ID"	2010	"Firth 7"	2	1037	576	467	76	191	345	419	120	120	441	438	122	517	510	83.0	430.0
"ID"	2010	"Firth 8"	2	836	470	373	83	167	269	330	108	103	354	345	107	415	410	84.0	333.0
