state	year	county_name	town_name	county	town	ward	cd	precinct	g2004_BALL_tv	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv
"MI"	2004	"GRATIOT"	"LAFAYETTE TOWNSHIP"	29	14	0	4	1	316	113	195	311	77	236	314
"MI"	2004	"GRATIOT"	"NEWARK TOWNSHIP"	29	16	0	4	1	448	185	246	439	135	292	429
"MI"	2004	"GRATIOT"	"NEW HAVEN TOWNSHIP"	29	18	0	4	1	446	166	275	443	128	295	423
"MI"	2004	"GRATIOT"	"NORTH SHADE TOWNSHIP"	29	20	0	4	1	271	76	190	270	70	190	262
"MI"	2004	"GRATIOT"	"NORTH STAR TOWNSHIP"	29	22	0	4	1	495	208	282	493	138	328	469
"MI"	2004	"GRATIOT"	"PINE RIVER TOWNSHIP"	29	24	0	4	1	1195	486	697	1194	361	765	1128
"MI"	2004	"GRATIOT"	"SEVILLE TOWNSHIP"	29	26	0	4	1	1004	402	593	1000	286	597	884
"MI"	2004	"GRATIOT"	"SUMNER TOWNSHIP"	29	28	0	4	1	803	353	433	797	274	493	773
"MI"	2004	"GRATIOT"	"WASHINGTON TOWNSHIP"	29	30	0	4	1	224	82	140	224	52	158	212
"MI"	2004	"GRATIOT"	"WASHINGTON TOWNSHIP"	29	30	0	4	2	218	75	140	216	58	146	204
"MI"	2004	"GRATIOT"	"WHEELER TOWNSHIP"	29	32	0	4	1	554	215	331	550	157	380	541
"MI"	2004	"GRATIOT"	"WHEELER TOWNSHIP"	29	32	0	4	2	731	276	446	727	196	512	711
"MI"	2004	"GRATIOT"	"ALMA CITY"	29	52	0	4	1	1095	505	574	1086	378	677	1060
"MI"	2004	"GRATIOT"	"ALMA CITY"	29	52	0	4	2	1243	573	649	1236	452	748	1212
"MI"	2004	"GRATIOT"	"ALMA CITY"	29	52	0	4	4	1326	714	587	1315	554	725	1294
"MI"	2004	"GRATIOT"	"ITHACA CITY"	29	54	0	4	1	1449	636	785	1434	445	943	1396
"MI"	2004	"GRATIOT"	"ST. LOUIS CITY"	29	56	0	4	1	588	283	296	588	215	364	586
"MI"	2004	"GRATIOT"	"ST. LOUIS CITY"	29	56	0	4	2	899	372	516	898	293	591	889
"MI"	2004	"HILLSDALE"	"ADAMS TOWNSHIP"	30	2	0	7	1	1039	272	749	1039	195	575	876
"MI"	2004	"HILLSDALE"	"ADAMS TOWNSHIP"	30	2	0	7	901	180	48	130	179	37	118	171
"MI"	2004	"HILLSDALE"	"ALLEN TOWNSHIP"	30	4	0	7	1	662	176	386	579	143	356	571
"MI"	2004	"HILLSDALE"	"ALLEN TOWNSHIP"	30	4	0	7	901	90	28	57	88	19	58	88
"MI"	2004	"HILLSDALE"	"AMBOY TOWNSHIP"	30	6	0	7	1	568	194	363	563	138	312	470
"MI"	2004	"HILLSDALE"	"CAMBRIA TOWNSHIP"	30	8	0	7	1	964	333	608	956	259	509	844
"MI"	2004	"HILLSDALE"	"CAMBRIA TOWNSHIP"	30	8	0	7	901	209	68	137	205	49	126	186
"MI"	2004	"HILLSDALE"	"CAMDEN TOWNSHIP"	30	10	0	7	1	621	202	407	617	157	351	543
"MI"	2004	"HILLSDALE"	"CAMDEN TOWNSHIP"	30	10	0	7	901	70	18	50	68	14	45	63
"MI"	2004	"HILLSDALE"	"FAYETTE TOWNSHIP"	30	12	0	7	1	1229	410	800	1225	307	689	1102
"MI"	2004	"HILLSDALE"	"FAYETTE TOWNSHIP"	30	12	0	7	901	218	89	123	212	68	127	201
"MI"	2004	"HILLSDALE"	"HILLSDALE TOWNSHIP"	30	14	0	7	1	1072	354	703	1066	221	593	942
"MI"	2004	"HILLSDALE"	"JEFFERSON TOWNSHIP"	30	16	0	7	1	1188	433	721	1175	316	574	986
"MI"	2004	"HILLSDALE"	"JEFFERSON TOWNSHIP"	30	16	0	7	901	178	68	104	177	53	87	163
"MI"	2004	"HILLSDALE"	"LITCHFIELD TOWNSHIP"	30	18	0	7	1	459	132	320	455	93	251	424
"MI"	2004	"HILLSDALE"	"MOSCOW TOWNSHIP"	30	20	0	7	1	707	278	416	703	214	345	600
"MI"	2004	"HILLSDALE"	"PITTSFORD TOWNSHIP"	30	22	0	7	1	730	215	500	725	152	401	624
"MI"	2004	"HILLSDALE"	"PITTSFORD TOWNSHIP"	30	22	0	7	901	88	37	51	88	28	48	82
"MI"	2004	"HILLSDALE"	"RANSOM TOWNSHIP"	30	24	0	7	1	402	126	270	402	90	227	351
"MI"	2004	"HILLSDALE"	"READING TOWNSHIP"	30	26	0	7	1	877	327	530	875	261	456	788
"MI"	2004	"HILLSDALE"	"SCIPIO TOWNSHIP"	30	28	0	7	1	764	260	488	760	182	391	670
"MI"	2004	"HILLSDALE"	"SOMERSET TOWNSHIP"	30	30	0	7	1	956	407	536	953	309	483	849
"MI"	2004	"HILLSDALE"	"SOMERSET TOWNSHIP"	30	30	0	7	2	1018	409	595	1014	303	511	895
"MI"	2004	"HILLSDALE"	"SOMERSET TOWNSHIP"	30	30	0	7	901	517	244	270	516	183	282	483
"MI"	2004	"HILLSDALE"	"WHEATLAND TOWNSHIP"	30	32	0	7	1	627	201	409	617	153	300	543
"MI"	2004	"HILLSDALE"	"WOODBRIDGE TOWNSHIP"	30	34	0	7	1	457	135	313	454	97	260	403
"MI"	2004	"HILLSDALE"	"WRIGHT TOWNSHIP"	30	36	0	7	1	711	255	438	710	196	378	624
"MI"	2004	"HILLSDALE"	"WRIGHT TOWNSHIP"	30	36	0	7	901	60	14	44	60	11	40	54
"MI"	2004	"HILLSDALE"	"HILLSDALE CITY"	30	52	0	7	1	536	179	349	533	110	285	456
"MI"	2004	"HILLSDALE"	"HILLSDALE CITY"	30	52	0	7	2	486	161	313	481	127	243	424
"MI"	2004	"HILLSDALE"	"HILLSDALE CITY"	30	52	0	7	3	657	260	381	652	186	319	560
"MI"	2004	"HILLSDALE"	"HILLSDALE CITY"	30	52	0	7	4	677	254	407	675	172	344	596
"MI"	2004	"HILLSDALE"	"HILLSDALE CITY"	30	52	0	7	901	471	185	277	470	146	273	443
"MI"	2004	"HILLSDALE"	"LITCHFIELD CITY"	30	54	0	7	1	473	180	279	466	116	208	413
