state	year	county	ed	precinct	cd	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	g2000_USS_dv	g2000_USS_rv	g2000_USS_tv
"MD"	2000	3	16	12	7	754	4	758	869	15	886	779	13	792
"MD"	2000	3	16	13	7	781	3	784	871	10	883	814	9	823
"MD"	2000	3	16	14	7	1469	18	1487	1624	30	1663	1527	25	1552
"MD"	2000	3	17	1	7	571	14	585	613	24	654	584	24	608
"MD"	2000	3	17	2	7	304	6	310	327	8	338	310	5	315
"MD"	2000	3	18	1	7	386	2	388	418	6	429	399	7	406
"MD"	2000	3	18	2	7	487	46	533	515	59	607	507	47	554
"MD"	2000	3	19	1	7	446	6	452	507	11	522	464	8	472
"MD"	2000	3	19	2	7	324	51	375	354	68	447	359	52	411
"MD"	2000	3	19	3	7	186	36	222	217	45	274	222	41	263
"MD"	2000	3	20	1	7	443	3	446	501	8	512	457	12	469
"MD"	2000	3	20	2	7	205	8	213	232	9	241	211	13	224
"MD"	2000	3	20	3	7	102	1	103	115	1	118	108	1	109
"MD"	2000	3	20	4	7	574	5	579	697	9	711	625	11	636
"MD"	2000	3	20	5	7	330	3	333	381	5	392	350	4	354
"MD"	2000	3	20	6	7	114	2	116	132	2	135	116	2	118
"MD"	2000	3	20	7	7	478	7	485	534	13	553	510	14	524
"MD"	2000	3	20	8	7	1471	15	1486	1659	20	1688	1567	26	1593
"MD"	2000	3	20	9	7	947	37	984	1031	61	1103	982	57	1039
"MD"	2000	3	20	10	7	203	20	223	212	33	253	203	28	231
"MD"	2000	3	20	11	7	101	52	153	111	72	187	117	55	172
"MD"	2000	3	20	12	7	85	32	117	107	44	154	105	34	139
"MD"	2000	3	20	13	7	256	75	331	326	104	441	326	85	411
"MD"	2000	3	21	1	3	255	58	313	233	72	338	255	75	330
"MD"	2000	3	21	2	3	493	41	534	528	50	610	522	53	575
"MD"	2000	3	21	3	3	328	64	392	383	114	507	376	96	472
"MD"	2000	3	22	1	3	372	107	479	369	174	560	375	156	531
"MD"	2000	3	22	2	3	518	206	724	456	291	788	491	280	771
"MD"	2000	3	23	1	3	371	142	513	321	219	574	349	196	545
"MD"	2000	3	23	2	3	203	33	236	227	52	293	224	47	271
"MD"	2000	3	23	3	3	354	92	446	308	180	519	355	140	495
"MD"	2000	3	24	1	3	254	96	350	232	127	379	242	121	363
"MD"	2000	3	24	2	3	241	99	340	201	147	379	232	133	365
"MD"	2000	3	24	3	3	400	170	570	335	268	643	377	235	612
"MD"	2000	3	24	4	3	636	178	814	543	334	933	619	274	893
"MD"	2000	3	24	5	3	591	181	772	493	362	886	567	289	856
"MD"	2000	3	25	1	7	919	68	987	971	98	1087	959	80	1039
"MD"	2000	3	25	2	7	608	41	649	628	66	709	616	60	676
