state	year	parish	ward	precinct	cd	cd2	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv	g2000_USH_dv2	g2000_USH_rv2	g2000_USH_tv2
"LA"	2000	"Natchitoches"	"4-"	"2"	4		201	6	214	65	53	130			
"LA"	2000	"Orleans"	"9-"	"22"	2		499	6	510						
"LA"	2000	"East Baton Rouge"	"1-"	"78B"	6		218	158	386	141	206	356			
"LA"	2000	"Avoyelles"	"11-"	"2"	5		35	44	83	22	41	65			
"LA"	2000	"Caddo"	"0"	"13"	4		177	523	718	63	539	613			
"LA"	2000	"East Baton Rouge"	"1-"	"78A"	6		245	148	398	160	205	374			
"LA"	2000	"St. Charles"	"6-"	"3"	3		106	312	430		232	277			
"LA"	2000	"West Carroll"	"0"	"2"	5		130	266	407	100	185	299			
"LA"	2000	"Ouachita"	"8-"	"2"	5		161	1026	1208	167	885	1077			
"LA"	2000	"St. John The Baptist"	"0"	"14D"	3		63	17	84		16	45			
"LA"	2000	"Jefferson"	"0"	"41"	1		107	429	542	33	417	457			
"LA"	2000	"Bossier"	"2-"	"16"	4		258	457	728	89	442	548			
"LA"	2000	"Acadia"	"7-"	"4"	7		69	229	302	215		252			
"LA"	2000	"Rapides"	"0"	"38A"	5		0	7	7	0	6	6			
"LA"	2000	"Iberia"	"2-"	"5"	3		122	32	159		49	91			
"LA"	2000	"Webster"	"1-"	"23"	4		105	227	340	55	200	269			
"LA"	2000	"Jefferson"	"0"	"64"	1		102	296	407	41	289	339			
"LA"	2000	"St. Bernard"	"0"	"36"	3		268	467	758		648	710			
"LA"	2000	"Franklin"	"7-"	"8"	5		110	30	141	54	39	94			
"LA"	2000	"St. Landry"	"5-"	"8"	7		156	5	164	83		92			
"LA"	2000	"Iberville"	"0"	"32"	6		445	112	577	192	178	382			
"LA"	2000	"Orleans"	"12-"	"13"	2		305	5	315						
"LA"	2000	"Orleans"	"15-"	"11"	2		492	9	504						
"LA"	2000	"Jefferson"	"0"	"97"	1		97	333	443	37	357	398			
"LA"	2000	"Orleans"	"7-"	"27A"	2		358	3	364						
"LA"	2000	"Iberia"	"5-"	"1"	3		202	311	540		307	409			
"LA"	2000	"East Baton Rouge"	"3-"	"12A"	6		164	481	668	77	532	625			
"LA"	2000	"Terrebonne"	"0"	"59A"	3		269	268	558		291	363			
"LA"	2000	"Jackson"	"4-"	"2"	5		163	2	165	124	11	138			
"LA"	2000	"Jefferson Davis"	"0"	"11"	7		128	344	489	275		329			
"LA"	2000	"Orleans"	"4-"	"18"	1		123	328	465	53	336	393			
"LA"	2000	"Calcasieu"	"0"	"104E"	7		125	1	126	64		71			
"LA"	2000	"Caddo"	"0"	"68"	4		277	482	765	122	504	638			
"LA"	2000	"Tangipahoa"	"0"	"42"	1		200	194	412	68	239	313			
"LA"	2000	"Avoyelles"	"10-"	"5B"	5		60	6	69	19	16	37			
"LA"	2000	"Orleans"	"12-"	"8"	2		117	98	231						
"LA"	2000	"Tangipahoa"	"0"	"108"	1		158	165	325	69	169	240			
"LA"	2000	"East Baton Rouge"	"3-"	"27"	6		319	573	926	214	640	876			
"LA"	2000	"Plaquemines"	"6-"	"1"	3		538	329	881		467	631			
"LA"	2000	"West Baton Rouge"	"1-"	"2"	6		250	299	555	159	279	443			
"LA"	2000	"Orleans"	"7-"	"16"	2		322	30	353						
"LA"	2000	"Iberia"	"6-"	"4"	3		0	7	7		7	7			
"LA"	2000	"Natchitoches"	"1-"	"7"	4		82	244	336	26	193	237			
"LA"	2000	"Morehouse"	"0"	"15A"	5		220	33	265	151	56	217			
"LA"	2000	"Allen"	"3-"	"2"	7		135	271	427	237		285			
"LA"	2000	"Jefferson"	"0"	"108"	2		356	3	363						
"LA"	2000	"Acadia"	"2-"	"4"	7		59	311	376	237		302			
"LA"	2000	"Webster"	"1-"	"7"	4		77	44	122	32	47	83			
"LA"	2000	"St. Mary"	"0"	"16"	3		401	240	668		267	406			
"LA"	2000	"Tangipahoa"	"0"	"74"	1		214	128	348	63	165	236			
"LA"	2000	"Red River"	"7-"	"1"	4		56	127	188	20	123	145			
"LA"	2000	"Jefferson"	"0"	"248"	3		55	68	125		80	98			
"LA"	2000	"St. Mary"	"0"	"35"	3		174	343	531		326	417			
"LA"	2000	"Orleans"	"14-"	"21"	2		186	206	409						
"LA"	2000	"Orleans"	"5-"	"13"	1		149	157	334	89	175	282			
"LA"	2000	"Vermilion"	"0"	"14"	7		207	316	548	338		365			
"LA"	2000	"Bossier"	"4-"	"3B"	4		257	468	750	87	456	560			
"LA"	2000	"Caddo"	"0"	"39"	4		380	1	387	194	73	282			
"LA"	2000	"Rapides"	"0"	"64"	5		584	351	954	266	365	642			
"LA"	2000	"St. Landry"	"1-"	"7"	7		486	24	514	297		325			
"LA"	2000	"Richland"	"4-"	"1A"	5		4	5	9	4	4	8			
"LA"	2000	"Orleans"	"12-"	"3"	2		291	35	343						
"LA"	2000	"Orleans"	"9-"	"41B"	2		669	188	866						
"LA"	2000	"Red River"	"4-"	"2"	4		97	59	161	29	68	104			
"LA"	2000	"Jefferson"	"0"	"174A"	2		22	2	24						
"LA"	2000	"East Baton Rouge"	"1-"	"10B"	6		285	4	291	148	80	234			
"LA"	2000	"Tangipahoa"	"0"	"105"	1		28	52	80	11	53	65			
"LA"	2000	"Livingston"	"0"	"21"	6		268	441	731	121	432	570			
"LA"	2000	"East Baton Rouge"	"1-"	"66B"	6		414	288	725	262	394	677			
"LA"	2000	"Claiborne"	"0"	"86"	4		141	33	185	48	61	115			
"LA"	2000	"De Soto"	"0"	"63"	4		41	1	42	15	16	31			
"LA"	2000	"Jefferson"	"0"	"132"	1		133	178	323	57	194	261			
"LA"	2000	"Iberia"	"9-"	"5"	3		115	262	391		231	256			
"LA"	2000	"East Feliciana"	"3-"	"1B"	6		185	219	410	148	217	372			
"LA"	2000	"Vernon"	"5-"	"1"	4		217	496	736	91	363	481			
"LA"	2000	"Orleans"	"1-"	"2"	2		171	35	227						
"LA"	2000	"St. Landry"	"6-"	"7"	7		168	452	637	385		453			
"LA"	2000	"Avoyelles"	"2-"	"6A"	5		7	29	37	5	16	21			
"LA"	2000	"Terrebonne"	"0"	"1"	3		124	154	283		159	218			
"LA"	2000	"St. James"	"0"	"7A"	3		278	5	292		55	128			
"LA"	2000	"Assumption"	"7-"	"1A"	3		265	150	433		166	256			
"LA"	2000	"Lincoln"	"1-"	"E3"	5		288	7	309	117	39	162			
"LA"	2000	"Webster"	"2-"	"10"	4		159	365	538	61	306	380			
"LA"	2000	"Tangipahoa"	"0"	"118"	1		329	556	909	136	577	725			
"LA"	2000	"Calcasieu"	"0"	"125"	7		602	77	686	421		452			
"LA"	2000	"Tangipahoa"	"0"	"2"	1		409	122	557	186	157	351			
"LA"	2000	"Ascension"	"0"	"32"	3		88	19	109		46	78			
"LA"	2000	"Orleans"	"4-"	"15"	1		106	176	298	50	198	257			
"LA"	2000	"Webster"	"2-"	"18"	4		67	27	98	22	37	64			
"LA"	2000	"Orleans"	"1-"	"1"	2		171	19	197						
"LA"	2000	"Jefferson"	"0"	"217"	3		522	657	1196		716	932			
"LA"	2000	"Franklin"	"5-"	"2"	5		166	53	228	121	65	187			
"LA"	2000	"Allen"	"2-"	"4-C"	7		166	192	371	171		199			
"LA"	2000	"St. Landry"	"1-"	"19"	7		122	94	222	115		133			
"LA"	2000	"Terrebonne"	"0"	"16"	3		9	43	56		27	28			
"LA"	2000	"Orleans"	"14-"	"6"	2		195	259	470						
"LA"	2000	"Pointe Coupee"	"0"	"21A"	6		45	47	92	20	48	68			
"LA"	2000	"St. Tammany"	"S"	"8"	1		254	922	1199	115	923	1050			
"LA"	2000	"Caldwell"	"3-"	"1A"	5		8	18	27	4	20	25			
"LA"	2000	"Tensas"	"1-"	"2"	5		65	109	179	49	70	121			
"LA"	2000	"Calcasieu"	"0"	"42E"	7		196	446	655	394		485			
"LA"	2000	"St. Helena"	"5-"	"1"	6		476	161	665	177	204	396			
"LA"	2000	"East Baton Rouge"	"3-"	"35B"	6		128	339	475	91	358	456			
"LA"	2000	"Lincoln"	"3-"	"6"	5		26	201	235	12	156	169			
"LA"	2000	"East Baton Rouge"	"3-"	"18A"	6		263	307	574	162	368	536			
"LA"	2000	"Terrebonne"	"0"	"14A"	3		66	449	522		314	348			
"LA"	2000	"Jefferson"	"K"	"15"	1		257	287	552	116	320	444			
