state	year	county	town	ward	precinct	cd	sd	ld	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_dv	g2008_USS_rv	g2008_USS_tv	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv
"MI"	2008	11	4	0	1	6		78	614	851	1496	637	762	1451	405	1036	1479
"MI"	2008	11	6	0	1	6		79	817	319	1145	785	265	1098	670	417	1115
"MI"	2008	11	6	0	2	6		79	701	72	780	683	61	768	619	137	771
"MI"	2008	11	6	0	2				0	0	0	0	0	0	0	0	0
"MI"	2008	11	6	0	3	6		79	406	146	556	412	127	547	350	192	550
"MI"	2008	11	6	0	4	6		79	513	233	753	506	199	733	397	320	741
"MI"	2008	11	6	0	5	6		79	653	238	902	646	201	883	543	319	888
"MI"	2008	11	6	0	6	6		79	872	82	964	850	75	944	782	145	949
"MI"	2008	11	6	0	901	6		79	1146	390	1547	1171	319	1514	951	556	1529
"MI"	2008	11	8	0	1	6		78	503	756	1285	530	659	1226	311	924	1260
"MI"	2008	11	8	0	2	6		78	400	642	1059	410	551	1011	237	770	1037
"MI"	2008	11	10	0	1	6		78	642	776	1444	656	690	1390	394	996	1418
"MI"	2008	11	12	0	1	6		78	386	436	849	389	401	828	276	544	844
"MI"	2008	11	12	0	2	6		78	408	459	883	400	421	856	267	581	872
"MI"	2008	11	14	0	1	6		78	484	610	1107	507	542	1073	358	707	1084
"MI"	2008	11	14	0	2	6		78	466	297	773	464	264	758	343	392	757
"MI"	2008	11	16	0	1	6		79	518	806	1346	551	693	1291	327	948	1313
"MI"	2008	11	16	0	2	6		79	431	631	1079	472	537	1043	282	758	1062
"MI"	2008	11	18	0	1	6		78	381	312	704	385	258	671	275	393	686
"MI"	2008	11	20	0	1	6		79	342	467	821	353	420	804	252	547	817
"MI"	2008	11	20	0	2	6		79	463	525	1001	456	476	976	300	671	989
"MI"	2008	11	22	0	1	6		79	715	943	1695	747	824	1635	479	1156	1662
"MI"	2008	11	24	0	1	6		79	466	848	1333	498	752	1296	255	1056	1331
"MI"	2008	11	24	0	2	6		79	328	550	889	344	484	853	167	689	877
"MI"	2008	11	24	0	3	6		79	489	727	1232	479	667	1182	278	915	1218
"MI"	2008	11	24	0	4	6		79	433	800	1245	412	748	1189	236	970	1227
"MI"	2008	11	24	0	5	6		79	318	491	818	318	442	787	174	621	810
"MI"	2008	11	24	0	6	6		79	246	387	643	264	339	622	137	475	633
"MI"	2008	11	24	0	901	6		79	885	1309	2222	951	1185	2179	571	1592	2200
"MI"	2008	11	26	0	1	6		78	739	591	1356	766	475	1288	539	717	1298
"MI"	2008	11	28	0	1	6		78	463	512	994	469	450	957	306	645	974
"MI"	2008	11	28	0	2	6		78	431	262	703	412	213	648	311	342	668
"MI"	2008	11	28	0	3	6		78	599	515	1129	612	428	1089	414	667	1107
"MI"	2008	11	28	0	4	6		78	557	425	1004	555	346	945	396	548	970
"MI"	2008	11	28	0	5	6		78	413	566	990	421	496	948	242	696	967
"MI"	2008	11	28	0	5				0	0	0	0	0	0	0	0	0
"MI"	2008	11	28	0	901	6		78	838	626	1489	885	522	1448	610	837	1465
"MI"	2008	11	30	0	1	6		78	518	871	1416	554	771	1368	305	1056	1399
"MI"	2008	11	30	0	2	6		78	411	371	793	406	323	760	256	501	773
"MI"	2008	11	30	0	3	6		78	929	552	1516	877	499	1438	649	750	1454
"MI"	2008	11	32	0	1	6		78	395	662	1081	407	562	1016	264	771	1059
"MI"	2008	11	32	0	1				0	0	0	0	0	0	0	0	0
"MI"	2008	11	34	0	1	6		79	298	584	903	303	540	876	153	721	897
"MI"	2008	11	34	0	2	6		79	328	710	1046	337	648	1019	174	840	1031
"MI"	2008	11	34	0	901	6		79	260	449	718	266	430	714	142	551	714
"MI"	2008	11	36	0	1	6		79	411	559	991	467	454	956	298	645	977
"MI"	2008	11	38	0	1	6		79	921	437	1377	879	413	1330	724	593	1348
"MI"	2008	11	38	0	2	6		79	363	501	875	327	480	831	189	658	867
"MI"	2008	11	38	0	3	6		79	286	435	731	280	400	701	149	549	713
"MI"	2008	11	38	0	4	6		79	533	839	1393	538	778	1354	276	1086	1383
"MI"	2008	11	38	0	901	6		79	872	1028	1928	886	971	1900	558	1318	1916
"MI"	2008	11	40	0	1	6		78	770	627	1421	801	486	1355	553	807	1388
"MI"	2008	11	42	0	1	6		79	589	751	1360	618	669	1329	438	872	1340
"MI"	2008	11	44	0	1	6		78	454	540	1021	475	445	978	359	616	1000
"MI"	2008	11	44	0	1				0	0	0	0	0	0	0	0	0
"MI"	2008	11	52	0	1	6		79	964	28	994	904	31	967	840	98	972
"MI"	2008	11	52	0	2	6		79	791	10	801	727	13	760	680	68	760
"MI"	2008	11	52	0	3	6		79	982	12	994	911	16	946	864	67	950
"MI"	2008	11	52	0	4	6		79	974	22	997	922	28	980	861	92	982
"MI"	2008	11	52	0	901	6		79	653	22	675	629	25	656	587	59	660
"MI"	2008	11	54	0	1	6		79	555	625	1201	553	575	1159	373	786	1180
"MI"	2008	11	54	0	901				0	0	0	0	0	0	0	0	0
"MI"	2008	11	56	0	1	6		78	653	443	1115	660	376	1078	483	579	1085
"MI"	2008	11	56	0	2	6		78	487	349	844	499	292	824	336	479	830
"MI"	2008	11	58	0	1	6		79	327	412	757	347	350	725	213	515	741
"MI"	2008	11	60	0	1	6		78	504	390	910	519	313	879	371	498	896
"MI"	2008	11	62	0	1	6		78	600	207	826	574	178	791	468	314	800
"MI"	2008	11	62	0	2	6		78	604	348	979	582	303	935	397	514	945
"MI"	2008	11	62	0	3	6		78	574	282	875	573	231	836	450	386	852
"MI"	2008	11	62	0	4	6		78	635	522	1178	620	453	1114	414	702	1138
"MI"	2008	11	62	0	901	6		78	563	353	928	571	318	905	436	473	920
"MI"	2008	11	64	0	1	6		79	296	300	608	283	279	586	134	457	601
"MI"	2008	11	64	0	2	6		79	324	288	621	318	246	599	191	402	612
"MI"	2008	11	64	0	3	6		79	246	216	465	234	197	447	124	326	461
"MI"	2008	11	64	0	4	6		79	335	322	663	316	301	647	165	479	659
"MI"	2008	11	64	0	5	6		79	274	235	518	254	225	500	159	339	509
"MI"	2008	11	64	0	6	6		79	263	325	593	262	282	566	135	442	581
"MI"	2008	11	64	0	901	6		79	515	645	1171	535	590	1148	327	824	1168
"MI"	2008	11	66	0	1	6		79	339	332	680	337	286	652	229	424	670
"MI"	2008	12	2	0	1	7		58	369	517	901	418	426	863	296	535	876
