state	year	precinct	g2006_DEL_dv	g2006_DEL_tv	g2006_MAY_dv	g2006_MAY_rv	g2006_MAY_tv	g2006_COC_dv	g2006_COC_tv	g2006_SHADS_dv	g2006_SHADS_rv	g2006_SHADS_tv	g2006_SHADR_dv	g2006_SHADR_rv	g2006_SHADR_tv
"DC"	2006	116	624	630	617	2	619	603	606	564	43	607	526	14	540
"DC"	2006	117	326	326	321	1	322	315	317	297	25	322	270	10	280
"DC"	2006	118	544	545	526	12	538	528	530	482	45	527	448	10	458
"DC"	2006	119	472	477	461	7	468	457	461	423	36	459	391	15	406
"DC"	2006	120	356	361	355	4	359	338	341	325	24	349	297	8	305
"DC"	2006	121	682	688	683	12	695	661	664	619	47	666	564	14	578
"DC"	2006	122	478	486	480	6	486	461	467	431	36	467	396	14	410
"DC"	2006	123	512	518	497	8	505	503	505	460	38	498	423	10	433
"DC"	2006	124	676	682	658	11	669	655	659	592	64	656	563	11	574
"DC"	2006	125	836	849	831	10	841	821	830	756	67	823	697	18	715
"DC"	2006	126	728	734	719	11	730	714	720	651	69	720	615	16	631
"DC"	2006	127	1395	1437	1299	116	1415	1361	1386	1123	213	1336	1052	115	1167
"DC"	2006	128	608	631	556	65	621	582	599	497	101	598	452	59	511
"DC"	2006	129	451	464	445	52	497	433	442	365	76	441	336	68	404
"DC"	2006	130	640	690	596	152	748	601	635	519	95	614	431	178	609
"DC"	2006	131	87	88	73	10	83	80	80	65	9	74	55	10	65
"DC"	2006	132	506	510	502	7	509	493	499	464	29	493	431	12	443
"DC"	2006	133	510	518	495	16	511	484	492	463	40	503	426	14	440
"DC"	2006	134	441	444	423	9	432	425	431	400	32	432	372	7	379
"DC"	2006	135	901	926	836	43	879	865	884	758	120	878	711	43	754
"DC"	2006	136	328	341	307	38	345	311	320	242	52	294	228	40	268
"DC"	2006	137	267	276	242	13	255	255	264	210	67	277	212	14	226
"DC"	2006	138	970	1019	945	114	1059	941	970	735	128	863	656	144	800
"DC"	2006	139	759	762	730	18	748	728	732	648	65	713	584	23	607
"DC"	2006	140	498	502	492	8	500	479	481	450	31	481	408	17	425
"DC"	2006	141	759	776	689	65	754	717	736	583	129	712	558	66	624
"DC"	2006	142	627	651	578	82	660	615	633	486	94	580	463	84	547
"DC"	2006	143													
"DC"	2006	301	10		0	0	0	0	0	9	0	9	8	2	10
