state	year	county	precinct	cd	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv	cd2	g2008_USH_dv2	g2008_USH_rv2	g2008_USH_tv2	g2008_USP_dv	g2008_USP_rv	g2008_USS_dv	g2008_USS_rv	g2008_USP_tv	g2008_USS_tv
"NE"	2008	"Clay"	"EV-Absente"	3	60	267	327.0					92	241	120	212	338.0	341.0
"NE"	2008	"Clay"	"NP-Party"	3			0.0									0.0	0.0
"NE"	2008	"Clay"	"Provisiona"	3	14	48	62.0					19	43	29	31	63.0	62.0
"NE"	2008	"Colfax"	"1a"	1	115	318	433.0					182	251	166	268	439.0	447.0
"NE"	2008	"Colfax"	"2a"	1	122	381	503.0					193	325	189	318	524.0	530.0
"NE"	2008	"Colfax"	"3a"	1	121	394	515.0					205	330	211	321	543.0	544.0
"NE"	2008	"Colfax"	"4a"	1	37	313	350.0					88	266	95	262	357.0	362.0
"NE"	2008	"Colfax"	"5a"	1	58	339	397.0					130	269	99	297	401.0	404.0
"NE"	2008	"Colfax"	"6a"	1	46	330	376.0					115	264	116	264	380.0	387.0
"NE"	2008	"Colfax"	"EV-Absente"	1	99	403	502.0					212	313	194	327	529.0	532.0
"NE"	2008	"Colfax"	"NP-Party"	1			0.0									0.0	0.0
"NE"	2008	"Colfax"	"Provisiona"	1	0	0	0.0					0	0	0	0	0.0	0.0
"NE"	2008	"Cuming"	"01"	1	59	344	403.0					106	299	115	298	410.0	416.0
"NE"	2008	"Cuming"	"02"	1	56	330	386.0					114	276	119	270	396.0	399.0
"NE"	2008	"Cuming"	"03"	1	49	428	477.0					119	356	117	364	479.0	486.0
"NE"	2008	"Cuming"	"04"	1	42	279	321.0					80	245	98	225	326.0	331.0
"NE"	2008	"Cuming"	"05"	1	75	444	519.0					169	368	154	369	540.0	530.0
"NE"	2008	"Cuming"	"06"	1	100	554	654.0					237	421	229	435	665.0	673.0
"NE"	2008	"Cuming"	"07"	1	79	573	652.0					231	429	177	477	670.0	666.0
"NE"	2008	"Cuming"	"EV-Absente"	1	108	440	548.0					218	338	161	392	563.0	559.0
"NE"	2008	"Cuming"	"NP-Party"	1			0.0									0.0	0.0
"NE"	2008	"Cuming"	"Provisiona"	1			0.0									0.0	0.0
"NE"	2008	"Custer"	"01"	3	14	115	129.0					25	102	54	77	128.0	131.0
"NE"	2008	"Custer"	"02"	3	38	261	299.0					64	238	110	194	303.0	304.0
